airline,delay
AA,9.3405484832294
AS,7.05173271706416
B6,10.0050203358736
CO,7.82679159618989
DH,8.71693715578358
DL,7.13634736570365
EV,12.2886952635533
F9,6.75749954264006
FL,8.13023687051375
HA,-0.521185274188198
HP,8.24606569723845
KH,1.3021837519578
MQ,8.16844392800704
NW,5.95424566233959
OH,9.52162429102357
OO,6.68660186000791
PA,6.59657261719383
TW,7.57947128377065
TZ,6.62054455305388
UA,9.63052367155566
US,5.8060834930308
VX,9.88793766511416
WN,9.75504561297942
XE,7.83139422400384
YV,8.17602639337641
